rank,player,team,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,guaranteed,source_status,as_of_date
148,Sandro Mamukelashvili,LAL,13000000,12350000,13000000,13650000,,,38350000,uploaded,2026-09-09
149,Steven Adams,HOU,13000000,11869566,,,,,24869566,uploaded,2026-09-09
150,Dylan Harper,SAS,12989040,13607760,17172994,,,,12989040,uploaded,2026-09-09
151,Donte DiVincenzo,MIN,12535000,,,,,,12535000,uploaded,2026-09-09
152,Moses Moody,GSW,12500000,13425925,,,,,25925925,uploaded,2026-09-09
153,Brandon Clarke,MEM,12500000,,,,,,12500000,uploaded,2026-09-09
154,Jarred Vanderbilt,LAL,12428571,13285714,,,,,12428571,uploaded,2026-09-09
155,Davion Mitchell,MIA,12400000,,,,,,12400000,uploaded,2026-09-09
156,Alex Sarr,WAS,12370680,15611798,,,,,12370680,uploaded,2026-09-09
157,Amen Thompson,HOU,12258609,35862069,38731034,41600000,44468966,47337931,220258609,uploaded,2026-09-09
158,Cameron Boozer,MEM,11849760,12441840,13034880,16476089,,,24291600,uploaded,2026-09-09
159,Isaac Okoro,CHI,11814814,,,,,,11814814,uploaded,2026-09-09
160,Mark Williams,PHO,11728395,12666667,13604938,,,,38000000,uploaded,2026-09-09
161,VJ Edgecombe,PHI,11663880,12219720,15445727,,,,11663880,uploaded,2026-09-09
162,Isaiah Joe,DET,11323006,11323006,,,,,11323006,uploaded,2026-09-09
163,Ausar Thompson,DET,11117925,,,,,,11117925,uploaded,2026-09-09
164,Reed Sheppard,HOU,11108880,14041625,,,,,11108880,uploaded,2026-09-09
165,Aaron Nesmith,IND,11000000,19418000,20971440,,,,51389440,uploaded,2026-09-09
166,T.J. McConnell,IND,11000000,11800000,11800000,,,,22800000,uploaded,2026-09-09
167,Royce O'Neale,CHO,10875000,11625000,,,,,22500000,uploaded,2026-09-09
168,Sam Hauser,BOS,10848215,11651785,12455356,,,,34955356,uploaded,2026-09-09
169,Collin Gillespie,PHO,10714286,11571429,12428571,13285714,,,48000000,uploaded,2026-09-09
170,Caleb Wilson,CHI,10683720,11217960,11752320,14866685,,,21901680,uploaded,2026-09-09
171,Jusuf Nurkić,UTA,10576923,11423077,,,,,22000000,uploaded,2026-09-09
172,Kon Knueppel,CHO,10516560,11017560,13937214,,,,10516560,uploaded,2026-09-09
173,Derrick Jones Jr.,LAC,10476190,,,,,,10476190,uploaded,2026-09-09
174,Luke Kornet,SAS,10450000,9900000,9350000,,,,13000000,uploaded,2026-09-09
175,Anthony Black,ORL,10106316,,,,,,10106316,uploaded,2026-09-09
176,A.J. Green,MIL,10044644,10848215,11651786,12455355,,,45000000,uploaded,2026-09-09
177,Stephon Castle,SAS,10015920,12670139,,,,,10015920,uploaded,2026-09-09
178,Caleb Martin,DAL,10001493,9371351,,,,,10001493,uploaded,2026-09-09
179,Day'Ron Sharpe,BRK,10000000,10000000,,,,,10000000,uploaded,2026-09-09
180,Keaton Wagler,LAC,9674760,10158240,10641960,13483364,,,19833000,uploaded,2026-09-09
181,Buddy Hield,ATL,9658536,10097560,,,,,9658536,uploaded,2026-09-09
182,Ace Bailey,UTA,9523080,9976560,12640302,,,,9523080,uploaded,2026-09-09
183,Naji Marshall,DAL,9428571,18195600,17285820,16376040,,,61286031,uploaded,2026-09-09
184,Jalen Smith,CHI,9428571,,,,,,9428571,uploaded,2026-09-09
185,Collin Sexton,LAL,9366000,9834300,,,,,19200300,uploaded,2026-09-09
186,Moritz Wagner,BRK,9268293,9731707,,,,,9268293,uploaded,2026-09-09
187,Bilal Coulibaly,WAS,9240012,,,,,,9240012,uploaded,2026-09-09
188,Aaron Wiggins,ATL,9224300,8345797,8345797,,,,17570097,uploaded,2026-09-09
189,Ty Jerome,MEM,9220050,9659100,,,,,9220050,uploaded,2026-09-09
190,Brook Lopez,LAC,9187500,,,,,,9187500,uploaded,2026-09-09
191,Sam Merrill,CLE,9160715,9839285,10517856,,,,29517856,uploaded,2026-09-09
192,Ron Holland,DET,9069600,11491183,,,,,9069600,uploaded,2026-09-09
193,Dean Wade,PHI,9000000,9450000,9900000,10350000,,,30000000,uploaded,2026-09-09
194,Mikel Brown Jr.,BRK,8787000,9226440,9666000,12256488,,,18013440,uploaded,2026-09-09
195,Keon Ellis,BRK,8780488,9219512,,,,,8780488,uploaded,2026-09-09
196,Tre Johnson,WAS,8649600,9061680,11490211,,,,8649600,uploaded,2026-09-09
197,Jarace Walker,IND,8478542,,,,,,8478542,uploaded,2026-09-09
198,Kevin Huerter,DET,8333333,9000000,9666667,,,,27000000,uploaded,2026-09-09
199,Zach Collins,CHI,8292683,8707317,,,,,17000000,uploaded,2026-09-09
200,Quinten Post,MEM,8285714,8700000,9114286,,,,8285714,uploaded,2026-09-09
201,Max Christie,DAL,8285714,8857143,,,,,8285714,uploaded,2026-09-09
202,Tidjane Salaün,CHO,8237880,10445633,,,,,8237880,uploaded,2026-09-09
203,Deandre Ayton,WAS,8104000,,,,,,8104000,uploaded,2026-09-09
204,Kelly Oubre Jr.,IND,8050000,8450000,,,,,16500000,uploaded,2026-09-09
205,Darius Acuff Jr.,SAC,8021640,8422920,8823600,11205972,,,16444560,uploaded,2026-09-09
206,Jonathan Isaac,ORL,10449421,,,,,,10449421,uploaded,2026-09-09
207,Tre Mann,WAS,8000000,8000000,,,,,8000000,uploaded,2026-09-09
208,Harrison Barnes,SAS,8000000,,,,,,8000000,uploaded,2026-09-09
209,Tre Jones,CHI,8000000,8000000,,,,,8000000,uploaded,2026-09-09
210,Jeremiah Fears,NOP,7896240,8271960,10505389,,,,7896240,uploaded,2026-09-09
211,Taylor Hendricks,MEM,7805900,,,,,,7805900,uploaded,2026-09-09
212,Jaylin Williams,OKC,7774648,7774648,,,,,7774648,uploaded,2026-09-09
213,Payton Pritchard,BOS,7767857,8303571,,,,,16071428,uploaded,2026-09-09
214,Goga Bitadze,ORL,7608696,,,,,,7608696,uploaded,2026-09-09
215,Donovan Clingan,POR,7519920,9550298,,,,,7519920,uploaded,2026-09-09
216,Zeke Nnaji,DEN,7466667,7466667,,,,,7466667,uploaded,2026-09-09
217,Cason Wallace,OKC,7420806,,,,,,7420806,uploaded,2026-09-09
218,Kingston Flemings,ATL,7348680,7716120,8083680,10282441,,,15064800,uploaded,2026-09-09
219,Dereck Lively II,DAL,7239131,,,,,,7239131,uploaded,2026-09-09
220,Egor Dëmin,BRK,7233720,7578240,9639522,,,,7233720,uploaded,2026-09-09
221,Gradey Dick,TOR,7131511,,,,,,7131511,uploaded,2026-09-09
222,Clint Capela,HOU,7035000,7370000,,,,,14405000,uploaded,2026-09-09
223,Jordan Hawkins,NOP,7021895,,,,,,7021895,uploaded,2026-09-09
224,Isaiah Jackson,LAC,7000000,6400000,,,,,13400000,uploaded,2026-09-09
225,Rob Dillingham,CHI,6889320,8763216,,,,,6889320,uploaded,2026-09-09
226,Al Horford,GSW,6822000,7163100,,,,,13985100,uploaded,2026-09-09
227,Morez Johnson Jr.,DAL,6754800,7093080,7430640,9466636,,,13847880,uploaded,2026-09-09
228,Collin Murray-Boyles,TOR,6649560,6966000,8874684,,,,6649560,uploaded,2026-09-09
229,Keyonte George,UTA,6563925,,,,,,6563925,uploaded,2026-09-09
230,Tim Hardaway Jr.,MIA,6500000,,,,,,6500000,uploaded,2026-09-09
231,Saddiq Bey,NOP,6440678,,,,,,6440678,uploaded,2026-09-09
232,Bradley Beal,LAC,25807810,26129050,19383010,19383010,,,6424800,uploaded,2026-09-09
233,Brayden Burries,MIL,6417360,6738000,7058520,8999614,,,13155360,uploaded,2026-09-09
234,Zach Edey,MEM,6332760,8067937,,,,,6332760,uploaded,2026-09-09
235,Khaman Maluach,PHO,6316680,6617160,8436880,,,,6316680,uploaded,2026-09-09
236,Yaxel Lendeborg,GSW,6096240,6401280,6706200,8899128,,,12497520,uploaded,2026-09-09
237,Luke Kennard,PHO,6064000,6367200,,,,,6064000,uploaded,2026-09-09
238,Jonathan Kuminga,MIN,30364000,6367200,,,,,6064000,uploaded,2026-09-09
239,Marcus Smart,HOU,6064000,6367200,,,,,6064000,uploaded,2026-09-09
240,Cody Williams,MIN,6015600,7669890,,,,,6015600,uploaded,2026-09-09
